city,latitude,longitude,provider_count,thin_le5,lat_decimals,provenance,exact_match_provider,shared_point
OCALA,29.155590909090908,-82.18725454545455,7,,15,provider_average_multi,,
OCOEE,28.5837,-81.5326,6,,4,short_decimal_unknown,,
ODESSA,28.1421,-82.5905,3,YES,4,short_decimal_unknown,,
OKEECHOBEE,27.4203,-80.9454,1,YES,4,short_decimal_unknown,,
OLDSMAR,28.046,-82.6848,2,YES,3,short_decimal_unknown,,
OPA LOCKA,25.9097,-80.247,1,YES,4,short_decimal_unknown,,
OPA-LOCKA,25.924765,-80.240709,0,YES,6,LEAK_centroid_is_a_real_office,8774|Easterseals South Florida - Miami Gardens (Ophelia Brown),
ORANGE CITY,28.9453,-81.29949999999998,4,YES,4,short_decimal_unknown,,
ORANGE PARK,30.159063636363626,-81.7373,6,,15,provider_average_multi,,
ORLANDO,28.530197238578694,-81.368421106599,160,,15,provider_average_multi,,
ORMOND BEACH,29.28402006250002,-81.08248278124998,23,,14,provider_average_multi,,
OVIEDO,28.651299999999996,-81.2066,7,,15,provider_average_multi,,
PACE,30.6698,-87.1794,2,YES,4,short_decimal_unknown,,
PALATKA,29.657699999999995,-81.6595,1,YES,15,provider_average_multi,,
PALM BAY,28.017422206896576,-80.62711517241375,31,,15,provider_average_multi,,
PALM BEACH,26.7206,-80.0388,4,YES,4,provider_copied_this_centroid,10726|Cultivate Behavioral Health & Education - Palm Beach,
PALM BEACH GARDENS,26.820703772727267,-80.1321813181818,18,,15,provider_average_multi,,
PALM CITY,27.166855312499997,-80.2906568125,6,,15,provider_average_multi,,
PALM COAST,29.5213,-81.21175,3,YES,4,short_decimal_unknown,,
PALM HARBOR,28.081358333333323,-82.73016666666668,17,,15,provider_average_multi,,
PALM SPRINGS,26.633550499999988,-80.08697874999997,18,,15,provider_average_multi,,
PALMETTO,27.5429,-82.563,2,YES,4,short_decimal_unknown,,
PALMETTO BAY,25.6062,-80.3426,1,YES,4,short_decimal_unknown,,
PANAMA CITY,30.186325,-85.666875,3,YES,6,short_decimal_unknown,,
PANAMA CITY BEACH,30.236784,-85.877342,1,YES,6,short_decimal_unknown,,
PARKLAND,26.31950985714286,-80.250045,6,,14,provider_average_multi,,
PEMBROKE PARK,25.986741000000002,-80.201207,2,YES,15,provider_average_multi,,
PEMBROKE PINES,26.008317106382982,-80.33105770212764,38,,15,provider_average_multi,,
PENSACOLA,30.446144444444446,-87.2264111111111,7,,15,provider_average_multi,,
PINECREST,25.6682,-80.2973,1,YES,4,short_decimal_unknown,,
PINELLAS PARK,27.85830000000001,-82.71076666666666,6,,14,provider_average_multi,,
PLANT CITY,28.021055555555556,-82.13596666666668,7,,15,provider_average_multi,,
PLANTATION,26.136008749999995,-80.2602666,15,,15,provider_average_multi,,
POLK CITY,28.1987,-81.8083,0,YES,4,unverifiable_no_providers,,
POMPANO BEACH,26.23547857142857,-80.1189142857143,6,,14,provider_average_multi,,
PONTE VEDRA,30.1204,-81.4128,2,YES,4,short_decimal_unknown,,
PONTE VEDRA BEACH,30.121033333333333,-81.3961,1,YES,15,provider_average_multi,,
PORT CHARLOTTE,26.974766666666667,-82.11783333333334,5,YES,15,provider_average_multi,,
PORT ORANGE,29.135734034482745,-81.00101796551725,18,,15,provider_average_multi,,
PORT RICHEY,28.3011,-82.6927,3,YES,4,short_decimal_unknown,,
PORT ST JOE,29.811899999999998,-85.303,1,YES,15,provider_average_multi,,
PORT ST. LUCIE,27.284544324675338,-80.36577267532466,69,,15,provider_average_multi,,
PUNTA GORDA,26.9157,-81.9855,1,YES,4,short_decimal_unknown,,
QUINCY,30.599600000000002,-84.60484,2,YES,15,provider_average_multi,,
RIVERVIEW,27.84143529411764,-82.31699411764706,12,,14,provider_average_multi,,
RIVIERA BEACH,26.783728333333332,-80.05451333333333,2,YES,15,provider_average_multi,,
ROCKLEDGE,28.3134,-80.7319,5,YES,4,short_decimal_unknown,,
ROYAL PALM BEACH,26.66396153846154,-80.17927692307691,8,,14,provider_average_multi,,
RUSKIN,27.70315,-82.42528750000001,6,,5,short_decimal_unknown,,
SAFETY HARBOR,28.0096,-82.6967,3,YES,4,short_decimal_unknown,,
SANFORD,28.78285,-81.2835,6,,5,short_decimal_unknown,,
SANIBEL,26.4514,-82.0868,0,YES,4,unverifiable_no_providers,,
SANTA ROSA BEACH,30.3659,-86.2458,1,YES,4,short_decimal_unknown,,
SARASOTA,27.378116666666667,-82.52033333333334,9,,15,provider_average_multi,,
SATELLITE BEACH,28.178,-80.602,2,YES,3,short_decimal_unknown,,YES
SEBASTIAN,27.790100000000002,-80.4784,4,YES,15,provider_average_multi,,
SEBRING,27.4924,-81.4357,1,YES,4,short_decimal_unknown,,
SEFFNER,27.9922,-82.2863,0,YES,4,unverifiable_no_providers,,
SEMINOLE,27.857470000000006,-82.79999000000001,6,,15,provider_average_multi,,
SORRENTO,28.808712,-81.563219,2,YES,6,short_decimal_unknown,,
SOUTH DAYTONA,29.162878833333334,-81.0223265,2,YES,15,provider_average_multi,,
SOUTH MIAMI,25.703022083333334,-80.29321475000002,10,,15,provider_average_multi,,
SOUTHWEST RANCHES,26.064960000000003,-80.35004,10,,15,provider_average_multi,,
SPRING HILL,28.4691234189189,-82.5501272567568,46,,13,provider_average_multi,,
ST. AUGUSTINE,29.97925,-81.4686,13,,5,short_decimal_unknown,,
ST. CLOUD,28.23356,-81.280494,5,YES,5,short_decimal_unknown,,
ST. JOHNS,29.952083,-81.517944,2,YES,6,short_decimal_unknown,,
ST. PETERSBURG,27.762822,-82.643977,36,,6,short_decimal_unknown,,
STARKE,29.9583,-82.1185,1,YES,4,short_decimal_unknown,,
STUART,27.180700138888906,-80.23927261111108,17,,15,provider_average_multi,,
SUN CITY CENTER,27.7147,-82.3538,1,YES,4,short_decimal_unknown,,
SUNRISE,26.172107000000004,-80.28171164705881,13,,15,provider_average_multi,,
TALLAHASSEE,30.46875706532664,-84.25020276884409,130,,14,provider_average_multi,,
TAMARAC,26.208702562499997,-80.25731887500001,15,,15,provider_average_multi,,
TAMPA,27.99749763018869,-82.48303969811329,201,,14,provider_average_multi,,
TARPON SPRINGS,28.1385,-82.743,4,YES,4,short_decimal_unknown,,
TAVARES,28.801,-81.734,1,YES,3,short_decimal_unknown,,
TEMPLE TERRACE,28.037633333333332,-82.39006666666667,6,,15,provider_average_multi,,
THE VILLAGES,28.903364,-81.988739,1,YES,6,short_decimal_unknown,,
TIOGA,29.6609,-82.5852,1,YES,4,short_decimal_unknown,,YES
TITUSVILLE,28.598399999999998,-80.831,1,YES,15,provider_average_multi,,
TREASURE ISLAND,27.7456,-82.7516,0,YES,4,unverifiable_no_providers,,
TRINITY,28.2129,-82.6807,3,YES,4,short_decimal_unknown,,
UMATILLA,28.9254,-81.6801,1,YES,4,short_decimal_unknown,,
VALRICO,27.920099999999994,-82.24242857142858,5,YES,15,provider_average_multi,,
VENICE,27.0911,-82.39659999999999,3,YES,4,short_decimal_unknown,,
VERO BEACH,27.633,-80.4031,6,,3,provider_copied_this_centroid,10727|Cultivate Behavioral Health & Education - Vero Beach,
WAUCHULA,27.546903,-81.810087,1,YES,6,short_decimal_unknown,,
WEBSTER,28.613491,-82.050613,1,YES,6,short_decimal_unknown,,
WELLINGTON,26.653310000000005,-80.23875,4,YES,15,provider_average_multi,,
WESLEY CHAPEL,28.25095,-82.3138,6,,5,short_decimal_unknown,,
WEST MELBOURNE,28.066577714285707,-80.67627878571427,11,,15,provider_average_multi,,
WEST PALM BEACH,26.715734137931044,-80.09282525862065,88,,15,provider_average_multi,,
WESTON,26.07317254166667,-80.3764025,15,,14,provider_average_multi,,
WILLISTON,29.374082,-82.457705,2,YES,6,short_decimal_unknown,,
WILTON MANORS,26.158057,-80.132563,1,YES,6,short_decimal_unknown,,
WIMAUMA,27.7015,-82.3151,2,YES,4,short_decimal_unknown,,
WINDERMERE,28.5006,-81.5354,0,YES,4,unverifiable_no_providers,,
WINTER GARDEN,28.542300000000008,-81.5911,5,YES,15,provider_average_multi,,
WINTER HAVEN,28.00534,-81.73472000000001,9,,5,short_decimal_unknown,,
WINTER PARK,28.59837959375,-81.33095996875001,30,,11,provider_average_multi,,
WINTER SPRINGS,28.6831,-81.2814,3,YES,4,short_decimal_unknown,,
YULEE,30.622199999999996,-81.5906,6,,15,provider_average_multi,,
ZEPHYRHILLS,28.227420000000002,-82.178,2,YES,15,provider_average_multi,,
