domain,n_records,n_cities,n_aba,ids,cities
inbloomautism.com,5,4,5,"[""7485"",""8512"",""8506"",""8595"",""8507""]","[""DAVIE"",""FORT LAUDERDALE"",""JACKSONVILLE"",""JACKSONVILLE"",""TAMPA""]"
acornhealth.com,5,4,5,"[""8952"",""6756"",""6536"",""6622"",""7088""]","[""CORAL GABLES"",""LAKELAND"",""MIRAMAR"",""ORLANDO"",""ORLANDO""]"
pinecrestpt.com,4,2,0,"[""9614"",""9692"",""9620"",""9674""]","[""CORAL GABLES"",""MIAMI"",""MIAMI"",""MIAMI""]"
questinc.org,4,3,4,"[""6763"",""5835"",""5808"",""10360""]","[""ORLANDO"",""TAMPA"",""TAMPA"",""WINTER GARDEN""]"
baptistjax.com,4,2,2,"[""10228"",""8522"",""8490"",""10097""]","[""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE BEACH""]"
forcesportstherapy.com,4,2,0,"[""9771"",""9459"",""9524"",""9448""]","[""FORT LAUDERDALE"",""MIAMI"",""MIAMI"",""MIAMI""]"
hopebridge.com,4,3,3,"[""6040"",""7119"",""9125"",""7095""]","[""FORT MYERS"",""ORLANDO"",""ORLANDO"",""TALLAHASSEE""]"
devereux.org,4,4,4,"[""6941"",""6041"",""8826"",""6525""]","[""MELBOURNE"",""ORLANDO"",""PALM BAY"",""PEMBROKE PINES""]"
mykidtherapycenter.com,4,3,2,"[""9325"",""9284"",""7069"",""6992""]","[""HOMESTEAD"",""MIAMI"",""MIAMI"",""ORLANDO""]"
fkppec.com,3,3,1,"[""10314"",""7383"",""10048""]","[""HOLLYWOOD"",""LAUDERHILL"",""MIAMI""]"
myfavoritetherapists.com,3,3,1,"[""10288"",""6639"",""6617""]","[""DEERFIELD BEACH"",""ORLANDO"",""TAMPA""]"
orlandosportsmedicine.com,3,2,0,"[""9643"",""9489"",""9763""]","[""ALTAMONTE SPRINGS"",""ORLANDO"",""ORLANDO""]"
pathmedical.com,3,3,0,"[""10354"",""9617"",""10381""]","[""HOLLYWOOD"",""MIAMI GARDENS"",""WEST PALM BEACH""]"
careoptionsforkids.com,3,3,3,"[""10151"",""10245"",""10030""]","[""JACKSONVILLE"",""MIRAMAR"",""SPRING HILL""]"
fullspectrumaba.com,3,3,3,"[""7230"",""8626"",""8968""]","[""DAYTONA BEACH"",""FORT MYERS"",""MELBOURNE""]"
ppt4kids.com,3,3,0,"[""10003"",""10282"",""6925""]","[""BOCA RATON"",""LAKE WORTH"",""WEST PALM BEACH""]"
provitaspeech.com,3,3,0,"[""9243"",""8883"",""9183""]","[""BOCA RATON"",""PORT ST. LUCIE"",""ROYAL PALM BEACH""]"
apollo-rehab.com,3,3,0,"[""9568"",""9783"",""9640""]","[""MIRAMAR"",""PARKLAND"",""TAMARAC""]"
healthpropediatrics.com,3,2,0,"[""10071"",""10326"",""10219""]","[""BRANDON"",""TAMPA"",""TAMPA""]"
heart4kidstherapy.com,3,3,0,"[""10045"",""10065"",""10044""]","[""PALM HARBOR"",""TAMPA"",""TRINITY""]"
abakidsconnection.com,3,3,3,"[""6142"",""10607"",""8819""]","[""BROOKSVILLE"",""ORLANDO"",""TAMPA""]"
ariseautismcenter.com,3,3,3,"[""10593"",""10591"",""10592""]","[""CLERMONT"",""LAKE MARY"",""SANFORD""]"
arnoldpalmerhospital.com,3,1,0,"[""9246"",""9218"",""9338""]","[""ORLANDO"",""ORLANDO"",""ORLANDO""]"
sparkpediatrics.com,3,3,0,"[""10213"",""10062"",""10117""]","[""CLEARWATER"",""PALM SPRINGS"",""STUART""]"
kidsspotrehab.com,3,3,2,"[""10220"",""10243"",""8980""]","[""LUTZ"",""POMPANO BEACH"",""WEST PALM BEACH""]"
advancedrehab.us,3,2,0,"[""9637"",""9848"",""9696""]","[""LARGO"",""TAMPA"",""TAMPA""]"
sskidstherapy.com,3,3,3,"[""7474"",""9330"",""9363""]","[""CAPE CORAL"",""FORT MYERS"",""NAPLES""]"
cultivatebhe.com,3,3,3,"[""7140"",""9166"",""5840""]","[""BOCA RATON"",""ORANGE PARK"",""YULEE""]"
talkactiveclinic.com,3,2,1,"[""6524"",""9406"",""9407""]","[""ORLANDO"",""ORLANDO"",""WINTER PARK""]"
therapies4kids.com,3,3,1,"[""10107"",""9419"",""6519""]","[""CORAL SPRINGS"",""HOLLYWOOD"",""PEMBROKE PINES""]"
littleleaves.org,3,3,3,"[""7005"",""7103"",""6954""]","[""CORAL SPRINGS"",""MIAMI LAKES"",""WESTON""]"
elliementalhealth.com,3,3,0,"[""7255"",""9070"",""10375""]","[""LAKE WORTH BEACH"",""PEMBROKE PINES"",""WESTON""]"
toc.md,3,2,0,"[""9596"",""9751"",""9752""]","[""HOLLYWOOD"",""HOLLYWOOD"",""LAUDERHILL""]"
equanimitytherapy.com,3,2,2,"[""9263"",""9264"",""6621""]","[""HOLLYWOOD"",""HOLLYWOOD"",""PEMBROKE PINES""]"
breakthroughtherapyservices.com,3,3,0,"[""6014"",""9411"",""9414""]","[""DAVIE"",""PLANTATION"",""SOUTHWEST RANCHES""]"
ufhealthjax.org,3,1,1,"[""7107"",""10231"",""8806""]","[""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE""]"
www-healthpro-heritage-com.sandbox.hs-sites.com,3,2,0,"[""10332"",""10331"",""10269""]","[""LAKELAND"",""LAKELAND"",""RIVERVIEW""]"
azultherapyservices.com,3,2,1,"[""10296"",""7243"",""10310""]","[""HIALEAH"",""MIAMI"",""MIAMI""]"
physicalone.com,2,2,0,"[""9737"",""9423""]","[""FORT LAUDERDALE"",""LAUDERHILL""]"
physicaltherapygroupofflorida.com,2,2,0,"[""9679"",""9604""]","[""CORAL SPRINGS"",""FORT LAUDERDALE""]"
positivebehaviorservices.com,2,2,2,"[""10616"",""6672""]","[""FORT MYERS"",""HOMESTEAD""]"
positivedevelopment.com,2,2,0,"[""9360"",""9353""]","[""MIRAMAR"",""PLANTATION""]"
ptprofessionals.net,2,2,0,"[""9470"",""9471""]","[""MELBOURNE"",""PALM BAY""]"
ptsbeyourbest.com,2,2,0,"[""10072"",""8861""]","[""BRANDON"",""LAKELAND""]"
puzzleboxacademy.com,2,2,0,"[""8559"",""6903""]","[""MELBOURNE"",""PALM BAY""]"
